Date,Price
2018-05-31, 5097.0
2018-05-30, 5000.0
2018-05-29, 4536.0
2018-05-28, 4536.0
2018-05-27, 4653.0
2018-05-26, 6615.0
2018-05-25, 15950.0 
2018-06-30, 12044.0
2018-06-29, 9569.0
2018-06-28, 8897.0
2018-06-23, 9796.0
2018-06-21, 8260.0
2018-06-19, 8244.0
2018-06-18, 10061.0
2018-06-16, 9800.0
2018-06-15, 14018.0
2018-06-14, 7042.0
2018-06-13, 8400.0
2018-06-12, 7280.0
2018-06-11, 7711.0
2018-06-09, 7921.0
2018-06-08, 6552.0
2018-06-07, 5421.0
2018-06-06, 5497.0
2018-06-05, 5366.0
2018-06-04, 5332.0
2018-06-03, 5593.0
2018-06-02, 6550.0
2018-06-01, 7354.0 
2018-07-27, 8157.0
2018-07-25, 8157.0
2018-07-24, 8157.0
2018-07-21, 9177.0
2018-07-19, 8157.0
2018-07-18, 8244.0
2018-07-16, 8667.0
2018-07-14, 9800.0
2018-07-11, 8667.0
2018-07-08, 10198.0
2018-07-07, 11326.0
2018-07-01, 12081.0 
2018-08-28, 9571.0
2018-08-23, 9687.0
2018-08-18, 9085.0
2018-08-10, 9177.0
2018-08-06, 9178.0
2018-08-05, 10198.0
2018-08-03, 11218.0 
2018-09-30, 8591.0
2018-09-29, 8414.0
2018-09-28, 8481.0
2018-09-20, 7565.0
2018-09-05, 8732.0 
2018-10-13, 5400.0
2018-10-06, 5400.0
