"Date","Price"
21.5.18, 4680.0
22.5.18, 4126.0
23.5.18, 4126.0
24.5.18, 4710.0
25.5.18, 6457.0
26.5.18, 5010.0
27.5.18, 4038.0
28.5.18, 4038.0
29.5.18, 3973.0
30.5.18, 4489.0
31.5.18, 4300.0
1.6.18, 5710.0
2.6.18, 4553.0
3.6.18, 4225.0
4.6.18, 4038.0
5.6.18, 4051.0
6.6.18, 3514.0
7.6.18, 4038.0
8.6.18, 5010.0
9.6.18, 5405.0
10.6.18, 6455.0
11.6.18, 5608.0
12.6.18, 4561.0
13.6.18, 5607.0
14.6.18, 6627.0
15.6.18, 6865.0
16.6.18, 6117.0
17.6.18, 6627.0
18.6.18, 11070.0
19.6.18, 8976.0
20.6.18, 9125.0
21.6.18, 9688.0
22.6.18, 8668.0
23.6.18, 8158.0
24.6.18, 8456.0
25.6.18, 8455.0
26.6.18, 8811.0
27.6.18, 7137.0
28.6.18, 6627.0
29.6.18, 6106.0
30.6.18, 6117.0
1.7.18, 6595.0
2.7.18, 7648.0
3.7.18, 5670.0
4.7.18, 7615.0
5.7.18, 6118.0
6.7.18, 6663.0
7.7.18, 6428.0
8.7.18, 6622.0
9.7.18, 6810.0
10.7.18, 5178.0
11.7.18, 6175.0
12.7.18, 7870.0
13.7.18, 6323.0
14.7.18, 5532.0
15.7.18, 5022.0
16.7.18, 5180.0
17.7.18, 5405.0
18.7.18, 6675.0
19.7.18, 6675.0
20.7.18, 5405.0
21.7.18, 5800.0
22.7.18, 6675.0
23.7.18, 6675.0
24.7.18, 6875.0
25.7.18, 6675.0
26.7.18, 6675.0
27.7.18, 5800.0
28.7.18, 6035.0
29.7.18, 6675.0
30.7.18, 5800.0
31.7.18, 6675.0
1.8.18, 6200.0
2.8.18, 6675.0
3.8.18, 6600.0
4.8.18, 6200.0
5.8.18, 6875.0
6.8.18, 5800.0
7.8.18, 6675.0
8.8.18, 6675.0
9.8.18, 6675.0
10.8.18, 7860.0
11.8.18, 5805.0
12.8.18, 6675.0
13.8.18, 6675.0
14.8.18, 6675.0
15.8.18, 6675.0
16.8.18, 5800.0
17.8.18, 6117.0
18.8.18, 6975.0
19.8.18, 5800.0
20.8.18, 6975.0
21.8.18, 6975.0
22.8.18, 6529.0
23.8.18, 6975.0
24.8.18, 5610.0
25.8.18, 5607.0
26.8.18, 6452.0
27.8.18, 6452.0
28.8.18, 6452.0
29.8.18, 6975.0
30.8.18, 6975.0
31.8.18, 4078.0
1.9.18, 4038.0
2.9.18, 6975.0
3.9.18, 4078.0
4.9.18, 6975.0
5.9.18, 6175.0
6.9.18, 6175.0
7.9.18, 4051.0
8.9.18, 3980.0
9.9.18, 4180.0
10.9.18, 3480.0
11.9.18, 3480.0
12.9.18, 3480.0
13.9.18, 3480.0
14.9.18, 3480.0
15.9.18, 3383.0
16.9.18, 3480.0
17.9.18, 3480.0
18.9.18, 3680.0
19.9.18, 3480.0
20.9.18, 3480.0
21.9.18, 3480.0
22.9.18, 3480.0
23.9.18, 3480.0
24.9.18, 3480.0
25.9.18, 3480.0
26.9.18, 3480.0
27.9.18, 3480.0
28.9.18, 3480.0
29.9.18, 3383.0
30.9.18, 3680.0
1.10.18, 3480.0
2.10.18, 3480.0
3.10.18, 3480.0
4.10.18, 3480.0
5.10.18, 3480.0
6.10.18, 3680.0
7.10.18, 3480.0
8.10.18, 3480.0
9.10.18, 3680.0
10.10.18, 3480.0
11.10.18, 3480.0
12.10.18, 3480.0
13.10.18, 3480.0
14.10.18, 3480.0
15.10.18, 3480.0
16.10.18, 3480.0
17.10.18, 3480.0
18.10.18, 3480.0
19.10.18, 3480.0
20.10.18, 3480.0
21.10.18, 3680.0
22.10.18, 3480.0
23.10.18, 3235.0
24.10.18, 3480.0
25.10.18, 3480.0
26.10.18, 4480.0
27.10.18, 4680.0
28.10.18, 5680.0
29.10.18, 5680.0
30.10.18, 5680.0
31.10.18, 5680.0
1.11.18, 5022.0
2.11.18, 4988.0
3.11.18, 5022.0
4.11.18, 5022.0
5.11.18, 5022.0
6.11.18, 5022.0
7.11.18, 5022.0
8.11.18, 5022.0
9.11.18, 5022.0
10.11.18, 5022.0
11.11.18, 5022.0
12.11.18, 5022.0
13.11.18, 5022.0
14.11.18, 5022.0
15.11.18, 5022.0
16.11.18, 5022.0
17.11.18, 5022.0
18.11.18, 5022.0
19.11.18, 5022.0
20.11.18, 5022.0
21.11.18, 5022.0
22.11.18, 5022.0
23.11.18, 5022.0
24.11.18, 5022.0
25.11.18, 5022.0
26.11.18, 5022.0
27.11.18, 5022.0
28.11.18, 5022.0
29.11.18, 5022.0
30.11.18, 5022.0
1.12.18, 5022.0
2.12.18, 5022.0
3.12.18, 5022.0
4.12.18, 5022.0
5.12.18, 5022.0
