"Date","Price"
23.05.2018, 7458.0
24.05.2018, 6360.0
26.05.2018, 7920.0
28.05.2018, 7660.0
29.05.2018, 8245.0
30.05.2018, 8843.0
31.05.2018, 9871.0
01.06.2018, 10720.0
02.06.2018, 10415.0
05.06.2018, 7920.0
07.06.2018, 8546.0
08.06.2018, 10720.0
09.06.2018, 11185.0
10.06.2018, 12337.0
11.06.2018, 9565.0
12.06.2018, 10392.0
13.06.2018, 8225.0
15.06.2018, 10388.0
18.06.2018, 9044.0
19.06.2018, 9950.0
20.06.2018, 11243.0
23.06.2018, 12505.0
24.06.2018, 11755.0
25.06.2018, 10444.0
26.06.2018, 11880.0
27.06.2018, 11635.0
29.06.2018, 11723.0
30.06.2018, 12910.0
01.07.2018, 14159.0
02.07.2018, 12317.0
03.07.2018, 12754.0
05.07.2018, 11784.0
07.07.2018, 15069.0
08.07.2018, 13649.0
09.07.2018, 11251.0
13.07.2018, 16243.0
14.07.2018, 17970.0
16.07.2018, 14282.0
17.07.2018, 15908.0
18.07.2018, 15162.0
20.07.2018, 15111.0
21.07.2018, 14946.0
23.07.2018, 14892.0
24.07.2018, 15069.0
26.07.2018, 15069.0
28.07.2018, 17520.0
30.07.2018, 16365.0
01.08.2018, 17490.0
04.08.2018, 17649.0
05.08.2018, 16556.0
06.08.2018, 16943.0
07.08.2018, 16311.0
12.08.2018, 16026.0
13.08.2018, 15034.0
15.08.2018, 13969.0
25.08.2018, 15891.0
01.09.2018, 14139.0
03.09.2018, 12086.0
07.09.2018, 10980.0
25.09.2018, 8949.0
29.09.2018, 8860.0
07.10.2018, 6650.0
01.02.2019, 6864.0
11.03.2019, 6864.0
