"Data","Price"
1.1.13,264.53
2.1.13,965.45
3.1.13,1110.53
4.1.13,1268.26
5.1.13,1730.21
6.1.13,1987.45
7.1.13,2351.45
8.1.13,324.53
9.1.13,566.75
10.1.13,653.69
11.1.13,664.01
12.1.13,1110.53
13.1.13,1257.86
14.1.13,1397.41
15.1.13,1409.45
16.1.13,1665.21
17.1.13,178.53
18.1.13,401.75
19.1.13,405.69
20.1.13,563.32
21.1.13,563.32
22.1.13,563.32
23.1.13,563.32
24.1.13,566.75
25.1.13,653.69
26.1.13,965.45
27.1.13,1049.52
28.1.13,1050.52
29.1.13,1340.03
30.1.13,1384.80
31.1.13,1448.85
1.2.13,1464.45
2.2.13,1536.41
3.2.13,1577.69
4.2.13,178.53
5.2.13,398.32
6.2.13,401.75
7.2.13,405.69
8.2.13,405.69
9.2.13,405.69
10.2.13,405.69
11.2.13,463.32
12.2.13,463.32
13.2.13,463.32
14.2.13,677.03
15.2.13,1026.52
16.2.13,1110.53
17.2.13,1115.32
18.2.13,1115.32
19.2.13,1115.32
20.2.13,1115.32
21.2.13,1257.86
22.2.13,151.53
23.2.13,398.32
24.2.13,401.75
25.2.13,401.75
26.2.13,401.75
27.2.13,401.75
28.2.13,401.75
1.3.13,405.69
2.3.13,405.69
3.3.13,405.69
4.3.13,405.69
5.3.13,405.69
6.3.13,421.32
7.3.13,424.75
8.3.13,428.69
9.3.13,463.32
10.3.13,463.32
11.3.13,463.32
12.3.13,481.01
13.3.13,481.01
14.3.13,965.45
15.3.13,976.52
16.3.13,1085.03
17.3.13,1110.53
18.3.13,1115.32
19.3.13,1115.32
20.3.13,1115.32
21.3.13,1133.01
22.3.13,1133.01
23.3.13,178.53
24.3.13,398.32
25.3.13,398.32
26.3.13,401.75
27.3.13,401.75
28.3.13,401.75
29.3.13,405.69
30.3.13,405.69
31.3.13,405.69
1.4.13,405.69
2.4.13,421.32
3.4.13,463.32
4.4.13,463.32
5.4.13,566.75
6.4.13,1026.52
7.4.13,151.53
8.4.13,401.75
9.4.13,401.75
10.4.13,401.75
11.4.13,401.75
12.4.13,401.75
13.4.13,405.69
14.4.13,405.69
15.4.13,421.32
16.4.13,424.75
17.4.13,463.32
18.4.13,622.03
19.4.13,623.32
20.4.13,623.32
21.4.13,623.32
22.4.13,646.32
23.4.13,1340.03
24.4.13,126.53
25.4.13,245.10
26.4.13,398.32
27.4.13,398.32
28.4.13,398.32
29.4.13,398.32
30.4.13,401.75
1.5.13,401.75
2.5.13,401.75
3.5.13,405.69
4.5.13,405.69
5.5.13,416.01
6.5.13,421.32
7.5.13,424.75
8.5.13,428.69
9.5.13,463.32
10.5.13,589.75
11.5.13,615.48
12.5.13,615.48
13.5.13,615.48
14.5.13,622.03
15.5.13,965.45
16.5.13,976.52
17.5.13,986.52
18.5.13,1050.52
19.5.13,1054.11
20.5.13,1104.45
21.5.13,1115.32
22.5.13,1115.32
23.5.13,1115.32
24.5.13,1115.32
25.5.13,1164.39
26.5.13,2137.09
27.5.13,126.53
28.5.13,398.32
29.5.13,398.32
30.5.13,398.32
31.5.13,401.75
1.6.13,401.75
2.6.13,401.75
3.6.13,405.69
4.6.13,405.69
5.6.13,405.69
6.6.13,405.69
7.6.13,421.32
8.6.13,463.32
9.6.13,463.32
10.6.13,573.03
11.6.13,965.45
12.6.13,976.52
13.6.13,1050.52
14.6.13,1115.32
15.6.13,1115.32
16.6.13,126.53
17.6.13,245.10
18.6.13,398.32
19.6.13,398.32
20.6.13,401.75
21.6.13,401.75
22.6.13,401.75
23.6.13,401.75
24.6.13,405.69
25.6.13,421.32
26.6.13,424.75
27.6.13,428.69
28.6.13,463.32
29.6.13,463.32
30.6.13,463.32
1.7.13,486.32
2.7.13,622.03
3.7.13,965.45
4.7.13,1006.52
