tbl,Year,quarter,$mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,$caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,"2,006",3,87.41,"34,057","31,884","Portland, OR","Spokane, WA","19,393",WN,"34,330",0.5900,80.44,75,0.4400,125,0.2500,0.0000,"Portland, OR(45.516018, -122.681425)","Spokane, WA(47.658999, -117.425022)",20063340573188419393WN
Table 5,"1,997",4,224.47,"30,721","30,198","Boston, MA (Metropolitan Area)","Pittsburgh, PA","20,355",US,"68,280",0.9200,226.21,75,0.0700,400,0.2500,0.4200,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Pittsburgh, PA(40.442169, -79.994945)",19974307213019820355US
Table 5,"2,003",1,234.32,"31,995","30,852","Greensboro/High Point, NC","Washington, DC (Metropolitan Area)","20,355",US,"11,770",0.9800,234.92,100,0.1500,375,0.1100,0.3200,"Greensboro/High Point, NC(36.072701, -79.793899)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20031319953085220355US
Table 5,"1,998",3,71.25,"32,467","33,195","Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)","19,393",WN,"75,060",0.6400,65.54,75,0.9900,75,0.9900,0.0000,"Miami, FL (Metropolitan Area)(44.977479, -93.264346)","Tampa, FL (Metropolitan Area)(37.8606, -78.804199)",19983324673319519393WN
Table 5,"1,999",3,235.25,"30,713","30,325","Boise, ID","Denver, CO","19,977",UA,"13,710",0.7800,239.90,125,0.0900,550,0.0600,0.1800,"Boise, ID(43.597772, -83.884521)","Denver, CO(39.738453, -104.984853)",19993307133032519977UA
Table 5,"2,006",3,235.98,"30,977","31,995","Chicago, IL","Greensboro/High Point, NC","19,977",UA,"12,170",0.7700,239.12,100,0.0500,350,0.0800,0.2700,"Chicago, IL(41.775002, -87.696388)","Greensboro/High Point, NC(36.072701, -79.793899)",20063309773199519977UA
Table 5,"2,003",1,279.13,"30,529","34,100","Hartford, CT","Philadelphia, PA","20,355",US,"11,690",0.9600,277.36,150,0.0500,425,0.0800,0.0100,"Hartford, CT(41.765775, -72.673356)","Philadelphia, PA(39.951061, -75.16562)",20031305293410020355US
Table 5,"2,002",3,243.17,"33,105","31,703","Cincinnati, OH","New York City, NY (Metropolitan Area)","19,704",CO,"12,390",0.1400,256.33,75,0.0900,300,0.0600,0.4700,"Cincinnati, OH(39.104427, -84.513808)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20023331053170319704CO
Table 5,"1,997",1,236.50,"32,337","31,703","Indianapolis, IN","New York City, NY (Metropolitan Area)","20,355",US,"24,070",0.4100,242.76,125,0.1900,425,0.2100,0.3100,"Indianapolis, IN(39.76845, -86.156212)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",19971323373170320355US
Table 5,"1,996",3,73.28,"30,194","33,158","Dallas/Fort Worth, TX","Midland/Odessa, TX","19,805",AA,"6,090",0.1500,82.96,75,0.5000,150,0.0700,0.00164203612479475,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Midland/Odessa, TX(31.997433, -102.078043)",19963301943315819805AA
